ts,ticker,model,n,errors,error_rate,ttft_p50,ttft_p95,ttft_p99,total_p50,total_p95,total_p99,tok_per_sec,provider,date,hour_utc,ttft_tail_ratio
2026-08-04T15:33:04.191958+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,229.2,334.4,334.4,303.6,408.0,408.0,257.6,groq,2026-08-04,15,1.459
2026-08-04T15:34:08.944764+00:00,CBRS,gpt-oss-120b,8,4,0.5,166.0,374.4,374.4,342.4,585.8,585.8,259.8,cerebras,2026-08-04,15,2.255
2026-08-04T18:01:11.636408+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,430.5,661.3,661.3,617.3,859.2,859.2,72.5,groq,2026-08-04,18,1.536
2026-08-04T18:01:17.806912+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,320.5,387.8,387.8,438.0,503.3,503.3,109.6,groq,2026-08-04,18,1.21
2026-08-04T18:01:24.457028+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,396.3,483.6,483.6,473.6,557.0,557.0,193.2,groq,2026-08-04,18,1.22
2026-08-04T18:01:27.509146+00:00,QWEN,qwen/qwen3-32b,6,6,1.0,,,,,,,,groq,2026-08-04,18,
2026-08-04T18:02:32.989561+00:00,CBRS,gpt-oss-120b,8,2,0.25,377.2,736.7,736.7,394.1,756.9,756.9,211.5,cerebras,2026-08-04,18,1.953
2026-08-04T19:52:26.572549+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,200.9,238.8,238.8,353.6,492.6,492.6,125.5,groq,2026-08-04,19,1.189
2026-08-04T19:52:30.914475+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,104.7,157.0,157.0,212.7,290.1,290.1,235.6,groq,2026-08-04,19,1.5
2026-08-04T19:52:36.615208+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,285.3,471.6,471.6,368.8,510.0,510.0,225.3,groq,2026-08-04,19,1.653
2026-08-04T19:53:40.720020+00:00,CBRS,gpt-oss-120b,8,2,0.25,170.1,422.5,422.5,193.2,441.6,441.6,286.2,cerebras,2026-08-04,19,2.484
2026-08-04T21:32:08.717621+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,124.8,209.6,209.6,290.8,402.6,402.6,143.5,groq,2026-08-04,21,1.679
2026-08-04T21:32:12.854117+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,89.4,326.1,326.1,204.4,459.8,459.8,203.5,groq,2026-08-04,21,3.648
2026-08-04T21:32:18.475747+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,307.8,433.8,433.8,410.8,528.2,528.2,209.6,groq,2026-08-04,21,1.409
2026-08-04T21:33:22.194111+00:00,CBRS,gpt-oss-120b,8,2,0.25,155.4,305.1,305.1,175.3,319.7,319.7,445.9,cerebras,2026-08-04,21,1.963
